Wavelength,S1
nm,Counts
662.78,17358
662.834,17392
662.888,17493
662.943,17485
662.997,17564
663.051,17489
663.106,17389
663.16,17274
663.215,17300
663.269,17227
663.323,17050
